127.0.0.1 - - [24/Jan/2021:18:03:25 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:03:32 +0000] "GET /JspSession/ HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:03:33 +0000] "GET /JspSession/bootstrap.css HTTP/1.1" 200 198134
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:04:12 +0000] "GET /JspSession/loginform.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:04:25 +0000] "GET /JspSession/loginform.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:04:25 +0000] "GET /JspSession/bootstrap.css HTTP/1.1" 200 198134
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:04:27 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:05:17 +0000] "POST /JspSession/check.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:05:17 +0000] "GET /JspSession/loginform.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:05:33 +0000] "POST /JspSession/check.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:05:33 +0000] "GET /JspSession/loginform.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:08:15 +0000] "GET /JspSession/loginform.jsp HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:08:23 +0000] "POST /JspSession/loginform.jsp HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:08:59 +0000] "GET /JspSession/register_emp.jsp HTTP/1.1" 200 3017
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:09:05 +0000] "GET /JspSession/loginform.jsp HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:29:45 +0000] "GET /JspSession/loginform.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:30:10 +0000] "POST /JspSession/check.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2021:18:30:10 +0000] "GET /JspSession/loginform.jsp HTTP/1.1" 200 324
